frame_id,left_detected,right_detected,left_conf,right_conf,lat_offset_m,latency_ms
216,1,1,1.0,1.0,-0.6021,82.62
217,1,1,1.0,1.0,-0.6813,74.51
218,1,1,1.0,1.0,-0.6838,73.63
219,1,1,1.0,1.0,-0.6332,76.6
220,1,1,1.0,1.0,-0.6707,74.37
221,1,1,1.0,1.0,-0.6557,76.6
222,1,1,1.0,1.0,-0.6399,77.93
223,1,1,1.0,1.0,-0.6666,80.48
224,1,1,1.0,1.0,-0.7563,83.74
225,1,1,1.0,1.0,-0.7391,86.53
226,1,1,1.0,1.0,-0.6637,98.45
227,1,1,1.0,1.0,-0.5159,66.96
228,1,1,1.0,1.0,-0.6289,68.37
229,1,1,1.0,1.0,-0.6028,73.5
230,1,1,1.0,1.0,-0.6595,73.72
231,1,1,1.0,1.0,-0.6415,80.45
232,1,1,1.0,1.0,-0.6538,75.01
233,1,1,1.0,1.0,-0.6825,77.07
234,1,1,1.0,1.0,-0.6189,71.87
235,1,1,1.0,1.0,-0.654,87.56
236,1,1,1.0,1.0,-0.726,80.75
237,0,1,0.016,1.0,6.5384,68.67
238,1,1,1.0,1.0,-0.5378,84.03
239,1,1,1.0,1.0,-0.4927,73.51
240,1,1,1.0,1.0,-0.6794,70.08
241,1,1,1.0,1.0,-0.6421,76.18
242,1,1,1.0,1.0,-0.6366,72.29
243,1,1,1.0,1.0,-0.6385,72.17
244,1,1,1.0,1.0,-0.6412,70.48
245,1,1,1.0,1.0,-0.6325,69.78
246,1,1,1.0,1.0,-0.6106,66.36
247,1,1,1.0,1.0,-0.6363,67.63
248,1,1,1.0,1.0,-0.613,69.43
249,1,1,1.0,1.0,-0.6432,80.84
250,1,1,1.0,1.0,-0.6734,73.18
251,0,1,0.0,1.0,,69.45
252,1,1,1.0,1.0,-0.5808,81.84
253,1,1,1.0,1.0,-0.7169,88.66
254,1,1,1.0,1.0,-0.68,73.79
255,1,1,1.0,1.0,-0.6146,88.34
256,1,1,1.0,1.0,-0.6272,70.65
257,1,1,1.0,1.0,-0.6537,77.54
258,1,1,1.0,1.0,-0.6492,79.52
259,1,1,1.0,1.0,-0.574,77.2
260,1,1,1.0,1.0,-0.5349,68.83
261,1,1,1.0,1.0,-0.6728,74.19
262,1,1,1.0,1.0,-0.6349,70.56
263,1,1,1.0,1.0,-0.4665,83.1
264,0,1,0.0,1.0,,61.73
265,0,1,0.0,1.0,,68.45
266,1,1,1.0,1.0,-0.8228,72.7
267,1,1,1.0,1.0,-0.6824,78.55
268,1,1,1.0,1.0,-0.5608,80.46
269,1,1,1.0,1.0,-0.5693,81.52
270,1,1,1.0,1.0,-0.3949,85.48
271,1,1,1.0,1.0,-0.4699,72.27
272,1,1,1.0,1.0,-0.6073,71.87
273,1,1,1.0,1.0,-0.5977,77.6
274,1,1,1.0,1.0,-0.6315,88.66
275,1,1,1.0,1.0,-0.5792,83.86
276,1,1,1.0,1.0,-0.628,98.91
277,0,1,0.0,1.0,,68.38
278,0,1,0.0,1.0,,65.91
279,0,1,0.0,1.0,,68.4
280,1,1,1.0,1.0,-0.6848,73.93
281,1,1,1.0,1.0,-0.5774,85.37
282,1,1,1.0,1.0,-0.6335,73.85
283,1,1,1.0,1.0,-0.5289,75.78
284,1,1,1.0,1.0,-0.5412,74.38
285,1,1,1.0,1.0,-0.5747,74.79
286,1,1,1.0,1.0,-0.6024,79.07
287,1,1,1.0,1.0,-0.5927,88.29
288,1,1,1.0,1.0,-0.5871,71.3
289,1,1,1.0,1.0,-0.5747,86.0
290,1,1,1.0,1.0,-0.7996,82.36
291,0,1,0.0,1.0,,76.06
292,0,1,0.0,1.0,,64.14
293,1,1,1.0,1.0,-0.4141,91.76
294,1,1,1.0,1.0,-0.5381,90.14
295,1,1,1.0,1.0,-0.5079,82.99
296,1,1,1.0,1.0,-0.5292,81.91
297,1,1,1.0,1.0,-0.5114,77.77
298,1,1,1.0,1.0,-0.563,75.68
299,1,1,1.0,1.0,-0.5271,80.45
300,1,1,1.0,1.0,-0.5619,70.07
301,1,1,1.0,1.0,-0.5666,76.58
302,1,1,1.0,1.0,-0.5412,74.86
303,1,1,1.0,1.0,-0.5551,99.86
304,1,1,1.0,1.0,-0.6954,76.58
305,0,1,0.0,1.0,,66.54
306,1,1,1.0,1.0,-0.7448,90.21
307,1,1,1.0,1.0,-0.6221,102.94
308,1,1,1.0,1.0,-0.5704,76.43
309,1,1,1.0,1.0,-0.5418,84.29
310,1,1,1.0,1.0,-0.5571,88.69
311,1,1,1.0,1.0,-0.6335,72.67
312,1,1,1.0,1.0,-0.6243,74.76
313,1,1,1.0,1.0,-0.5904,77.37
314,1,1,1.0,1.0,-0.4983,72.59
315,1,1,1.0,1.0,-0.5742,81.92
316,1,1,1.0,1.0,-0.5402,101.92
317,1,1,1.0,1.0,-0.6035,71.14
318,0,1,0.0,1.0,,80.49
319,0,1,0.0,1.0,,84.54
320,1,1,1.0,1.0,-0.677,65.7
321,1,1,1.0,1.0,-0.5982,74.32
322,1,1,1.0,1.0,-0.5391,74.06
323,1,1,1.0,1.0,-0.5673,79.37
324,1,1,1.0,1.0,-0.6187,85.94
325,1,1,1.0,1.0,-0.535,102.61
326,1,1,1.0,1.0,-0.6268,84.57
327,1,1,1.0,1.0,-0.6338,80.29
328,1,1,1.0,1.0,-0.6272,70.24
329,1,1,1.0,1.0,-0.6454,80.03
330,1,1,1.0,1.0,-0.6443,76.96
331,1,1,1.0,1.0,-0.6646,87.69
332,0,1,0.0,1.0,,68.96
333,1,1,1.0,1.0,-0.7469,84.16
334,1,1,1.0,1.0,-0.7013,90.93
335,1,1,1.0,1.0,-0.5612,84.86
336,1,1,1.0,1.0,-0.5981,83.08
337,1,1,1.0,1.0,-0.6219,84.78
338,1,1,1.0,1.0,-0.6268,79.29
339,1,1,1.0,1.0,-0.5729,81.27
340,1,1,1.0,1.0,-0.6124,88.82
341,1,1,1.0,1.0,-0.5644,89.31
342,1,1,1.0,1.0,-0.618,70.54
343,1,1,1.0,1.0,-0.6318,80.23
344,1,1,1.0,1.0,-0.6113,95.04
345,0,1,0.0,1.0,,66.64
346,1,1,1.0,1.0,-0.5348,102.93
347,1,1,1.0,1.0,-0.5606,87.28
348,1,1,1.0,1.0,-0.543,77.04
349,1,1,1.0,1.0,-0.5298,80.45
350,1,1,1.0,1.0,-0.5689,74.81
351,1,1,1.0,1.0,-0.5998,77.98
352,1,1,1.0,1.0,-0.5918,69.71
353,1,1,1.0,1.0,-0.6285,73.75
354,1,1,1.0,1.0,-0.6189,67.85
355,1,1,1.0,1.0,-0.6262,78.91
356,1,1,1.0,1.0,-0.5942,80.6
357,1,1,1.0,1.0,-0.626,82.77
358,0,1,0.0,1.0,,64.99
359,1,1,1.0,1.0,-0.6448,84.63
360,1,1,1.0,1.0,-0.5885,85.18
361,1,1,1.0,1.0,-0.5637,82.95
362,1,1,1.0,1.0,-0.6441,82.01
363,1,1,1.0,1.0,-0.5734,84.78
364,1,1,1.0,1.0,-0.6895,78.0
365,1,1,1.0,1.0,-0.6692,82.86
366,1,1,1.0,1.0,-0.6515,87.96
367,1,1,1.0,1.0,-0.6452,77.6
368,1,1,1.0,1.0,-0.6623,70.12
369,1,1,1.0,1.0,-0.6499,88.43
370,1,1,1.0,1.0,-0.6469,83.35
371,1,1,1.0,1.0,-0.7008,79.48
372,0,1,0.0,1.0,,63.67
373,1,1,1.0,1.0,-0.6484,86.16
374,1,1,1.0,1.0,-0.6616,56.77
375,1,1,1.0,1.0,-0.7914,75.87
376,1,1,1.0,1.0,-0.6808,76.65
377,1,1,1.0,1.0,-0.6443,80.96
378,1,1,1.0,1.0,-0.6273,84.01
379,1,1,1.0,1.0,-0.6877,73.63
380,1,1,1.0,1.0,-0.698,73.92
381,1,1,1.0,1.0,-0.6979,73.97
382,1,1,1.0,1.0,-0.6892,71.29
383,1,1,1.0,1.0,-0.7019,76.32
384,1,1,1.0,1.0,-0.677,77.41
385,1,1,1.0,1.0,-0.7031,75.73
386,1,1,1.0,1.0,-0.7098,85.22
387,1,1,1.0,1.0,-0.7431,80.92
388,1,1,1.0,1.0,-0.7546,88.59
389,1,1,1.0,1.0,-0.7565,92.75
390,1,1,1.0,1.0,-0.6561,65.6
391,1,1,1.0,1.0,-0.7854,87.55
392,1,1,1.0,1.0,-0.7645,88.36
393,1,1,1.0,1.0,-0.7495,84.36
394,1,1,1.0,1.0,-0.7498,81.02
395,1,1,1.0,1.0,-0.747,94.3
396,1,1,1.0,1.0,-0.7647,72.81
397,1,1,1.0,1.0,-0.7538,82.97
398,1,1,1.0,1.0,-0.7393,85.11
399,1,1,1.0,1.0,-0.7908,81.93
400,1,1,1.0,1.0,-0.813,90.8
401,1,1,1.0,1.0,-0.8274,88.93
402,1,1,1.0,1.0,-0.8375,74.15
403,1,1,1.0,1.0,-0.7619,79.34
404,1,1,1.0,1.0,-0.7429,136.41
405,1,1,1.0,1.0,-0.7791,83.87
406,1,1,1.0,1.0,-0.7687,86.88
407,1,1,1.0,1.0,-0.8019,80.51
408,1,1,1.0,1.0,-0.7856,68.57
409,1,1,1.0,1.0,-0.8156,71.12
410,1,1,1.0,1.0,-0.8014,85.71
411,1,1,1.0,1.0,-0.802,82.16
412,1,1,1.0,1.0,-0.8017,81.19
413,1,1,1.0,1.0,-0.8014,79.56
414,1,1,1.0,1.0,-0.821,89.71
415,1,1,1.0,1.0,-0.8164,83.1
416,1,1,1.0,1.0,-0.7871,75.52
417,1,1,1.0,1.0,-0.7838,82.1
418,1,1,1.0,1.0,-0.8065,75.94
419,1,1,1.0,1.0,-0.8041,80.7
420,1,1,1.0,1.0,-0.7831,89.99
421,1,1,1.0,1.0,-0.8104,93.97
422,1,1,1.0,1.0,-0.7936,71.06
423,1,1,1.0,1.0,-0.8003,94.55
424,1,1,1.0,1.0,-0.7983,66.76
425,1,1,1.0,1.0,-0.8088,75.36
